file,system_id,regime,num_atoms,iterations,wall_time_s,rmse_ang,pdf_mse,adf_mse,macewall_best_loss
Fe7C3_mp-18257_amorphous_cell047_idx00008_seed001197008.npz,Fe7C3_mp-18257,amorphous,10870,12,0.8230992017779499,0.16782796716041465,15234.5859375,6938.6025390625,-89203.3681375833
Fe7C3_mp-18257_SRO_cell047_idx00009_seed001197009.npz,Fe7C3_mp-18257,SRO,10870,12,0.8270402220077813,0.1667791956715306,17317.0546875,4922.35546875,-89776.27361235168
Fe7C3_mp-18257_LRO_cell047_idx00010_seed001197010.npz,Fe7C3_mp-18257,LRO,10870,12,0.836242743069306,0.1666670104742995,21373.38671875,3788.060302734375,-90762.94176549067
Fe7C3_mp-18257_MRO_cell047_idx00011_seed001197011.npz,Fe7C3_mp-18257,MRO,10400,12,0.7691873740404844,0.16804003798593614,16218.9775390625,3732.723388671875,-85880.07588359277
Fe7C3_mp-21717_crystalline_30_cell047_idx00000_seed001231000.npz,Fe7C3_mp-21717,crystalline_30,11530,12,0.9348402719479054,0.16216353679988793,23164.75,4862.72998046875,-97529.2957639683
Fe7C3_mp-21717_nanocrystalline_cell047_idx00001_seed001231001.npz,Fe7C3_mp-21717,nanocrystalline,11300,12,0.8993546480778605,0.163462611608192,17899.98828125,4015.326416015625,-95134.20861225818
Fe7C3_mp-21717_amorphous_cell047_idx00002_seed001231002.npz,Fe7C3_mp-21717,amorphous,10820,12,0.8171643288806081,0.1648470501161841,16116.3828125,6741.8037109375,-88213.85513227424
Fe7C3_mp-21717_SRO_cell047_idx00003_seed001231003.npz,Fe7C3_mp-21717,SRO,10820,12,0.8184131230227649,0.1646610300004257,15422.2763671875,5064.74462890625,-89228.28634146464
Fe7C3_mp-21717_LRO_cell047_idx00004_seed001231004.npz,Fe7C3_mp-21717,LRO,10820,12,0.8253536410629749,0.1651023241437973,13286.31640625,4087.657958984375,-90316.60225332249
Fe7C3_mp-21717_MRO_cell047_idx00005_seed001231005.npz,Fe7C3_mp-21717,MRO,10350,12,0.7573814899660647,0.16675426706661028,10670.875,3406.241455078125,-85378.91533584103
Fe7C3_mp-21717_crystalline_30_cell047_idx00006_seed001231006.npz,Fe7C3_mp-21717,crystalline_30,11530,12,0.9338993900455534,0.16231801732464493,22806.595703125,4265.4150390625,-97674.44338994882
Fe7C3_mp-21717_nanocrystalline_cell047_idx00007_seed001231007.npz,Fe7C3_mp-21717,nanocrystalline,11300,12,0.8973433040082455,0.16350919082240845,17681.40234375,3948.922119140625,-95054.39783288894
Fe7C3_mp-21717_amorphous_cell047_idx00008_seed001231008.npz,Fe7C3_mp-21717,amorphous,10820,12,0.8200625679455698,0.1649171248247808,16426.822265625,7090.1806640625,-88180.84302372458
Fe7C3_mp-21717_SRO_cell047_idx00009_seed001231009.npz,Fe7C3_mp-21717,SRO,10820,12,0.8200861341319978,0.16480272644221294,16117.34375,4909.404296875,-89230.7176343955
Fe7C3_mp-21717_LRO_cell047_idx00010_seed001231010.npz,Fe7C3_mp-21717,LRO,10820,12,0.8250350479502231,0.16546321083408086,12361.2900390625,3375.140869140625,-90324.2710145171
Fe7C3_mp-21717_MRO_cell047_idx00011_seed001231011.npz,Fe7C3_mp-21717,MRO,10350,12,0.7580813320819288,0.16748866532588433,10940.2529296875,3362.16552734375,-85345.566252147
GeO2_mp-223_crystalline_30_cell050_idx00000_seed001235000.npz,GeO2_mp-223,crystalline_30,9066,12,0.5215293599758297,0.1817707535445866,5217.95361328125,262.7301025390625,-55544.392160325995
GeO2_mp-223_nanocrystalline_cell050_idx00001_seed001235001.npz,GeO2_mp-223,nanocrystalline,8880,12,0.49367479304783046,0.1842443138477077,4601.458984375,362.63995361328125,-52849.460531057375
GeO2_mp-223_amorphous_cell050_idx00002_seed001235002.npz,GeO2_mp-223,amorphous,8511,12,0.4559881838504225,0.18663412453649686,2950.210693359375,1354.713623046875,-45937.820485596516
GeO2_mp-223_SRO_cell050_idx00003_seed001235003.npz,GeO2_mp-223,SRO,8511,12,0.4533756540622562,0.18648050176144432,2998.769287109375,838.4820556640625,-47666.36286762138
GeO2_mp-223_LRO_cell050_idx00004_seed001235004.npz,GeO2_mp-223,LRO,8511,12,0.4553811310324818,0.18661892273317904,4710.50341796875,386.6247863769531,-49603.43944404771
GeO2_mp-223_MRO_cell050_idx00005_seed001235005.npz,GeO2_mp-223,MRO,8142,12,0.419369257055223,0.18871483493357652,3352.238037109375,478.42529296875,-45737.019409894805
GeO2_mp-223_crystalline_30_cell050_idx00006_seed001235006.npz,GeO2_mp-223,crystalline_30,9066,12,0.5200325560290366,0.18199304257277574,4815.82275390625,293.611328125,-55373.7335892275
GeO2_mp-223_nanocrystalline_cell050_idx00007_seed001235007.npz,GeO2_mp-223,nanocrystalline,8880,12,0.49369110399857163,0.18366850537555224,4395.70703125,357.16412353515625,-52989.015284975896
GeO2_mp-223_amorphous_cell050_idx00008_seed001235008.npz,GeO2_mp-223,amorphous,8511,12,0.4526101038791239,0.1862453744481285,3021.696533203125,1309.33251953125,-45959.06504353192
GeO2_mp-223_SRO_cell050_idx00009_seed001235009.npz,GeO2_mp-223,SRO,8511,12,0.45399689488112926,0.18624935703708523,3017.0263671875,884.7262573242188,-47885.961663881
GeO2_mp-223_LRO_cell050_idx00010_seed001235010.npz,GeO2_mp-223,LRO,8511,12,0.45577253703959286,0.18661821195400166,4992.9326171875,400.1336975097656,-49578.195185495584
GeO2_mp-223_MRO_cell050_idx00011_seed001235011.npz,GeO2_mp-223,MRO,8142,12,0.4204796329140663,0.1883495595825506,2916.494384765625,412.7693176269531,-45891.79732554688
GeO2_mp-470_crystalline_30_cell047_idx00000_seed001303000.npz,GeO2_mp-470,crystalline_30,11253,12,0.8787000509910285,0.16949874780969032,31865.169921875,1406.19287109375,-68961.17945686389
GeO2_mp-470_nanocrystalline_cell047_idx00001_seed001303001.npz,GeO2_mp-470,nanocrystalline,11022,12,0.8431291540618986,0.17187247589710972,15002.6748046875,1589.8880615234375,-66208.40530960317
GeO2_mp-470_amorphous_cell047_idx00002_seed001303002.npz,GeO2_mp-470,amorphous,10563,12,0.7865670560859144,0.17717407755231038,12192.95703125,4223.20166015625,-56580.62175599221
GeO2_mp-470_SRO_cell047_idx00003_seed001303003.npz,GeO2_mp-470,SRO,10563,12,0.7881360310129821,0.1760308847425851,11403.8076171875,3355.3564453125,-59462.14437413239
GeO2_mp-470_LRO_cell047_idx00004_seed001303004.npz,GeO2_mp-470,LRO,10563,12,0.7829652708023787,0.1735419968944649,13022.6728515625,1622.919921875,-62016.31649523885
